# run=2026-09-23_1034  universe=1139  cache_hit=47.7%  price_stale=38/1139  fetch_failed=11/1139
ticker,quality_flag,ready_to_buy_excluded,target_upside,turn_state,eps_rev_90d,eps_rev_30d,debtToEquity,fcf_margin,profitMargins,survivability,price_above_ma50,pct_change_1mo,sector
PEG,SPECULATIVE,SPECULATIVE,25.7%,FALLING_KNIFE,-0.52,-0.01,142.41,0.00,0.16,33.10,False,-6.6%,Utilities
R,LOW,LOW_QUALITY,25.7%,FUNDAMENTALS_READY_PRICE_FALLING,1.77,0.81,293.61,0.10,0.04,24.40,False,-4.6%,Industrials
RYAAY,SPECULATIVE,SPECULATIVE,25.7%,WATCH,-7.18,1.34,1.92,-0.01,0.12,52.50,False,-1.8%,Industrials
SNOW,LOW,LOW_QUALITY,25.4%,WATCH,12.30,11.36,128.57,0.01,-0.20,29.00,True,1.9%,Technology
KBR,LOW,LOW_QUALITY,25.4%,FALLING_KNIFE,-2.01,0.00,170.40,0.06,0.05,22.60,False,-8.4%,Industrials
DEO,LOW,LOW_QUALITY,25.1%,FUNDAMENTALS_READY_PRICE_FALLING,5.37,4.03,171.34,0.05,0.09,46.70,False,-9.1%,Consumer Defensive
GM,SPECULATIVE,SPECULATIVE,24.9%,FUNDAMENTALS_READY_PRICE_FALLING,6.59,2.01,202.34,0.29,0.01,34.10,False,-5.1%,Consumer Cyclical
SWX,SPECULATIVE,SPECULATIVE,24.8%,FALLING_KNIFE,1.30,0.30,85.08,-0.07,0.31,45.80,False,-7.4%,Utilities
TSN,LOW,LOW_QUALITY,24.7%,FALLING_KNIFE,-8.75,-7.82,44.02,0.07,0.01,44.70,False,-11.9%,Consumer Defensive
DOCN,SPECULATIVE,SPECULATIVE,24.6%,WATCH,7.11,-0.86,212.51,-0.00,0.23,28.70,True,21.6%,Technology
